a:7:{s:6:"config";a:5:{s:10:"phpVersion";s:6:"5.5.27";s:10:"yiiVersion";s:10:"2.0.0-beta";s:11:"application";a:4:{s:3:"yii";s:10:"2.0.0-beta";s:4:"name";s:14:"My Application";s:3:"env";s:3:"dev";s:5:"debug";b:1;}s:3:"php";a:4:{s:7:"version";s:6:"5.5.27";s:6:"xdebug";b:1;s:3:"apc";b:0;s:8:"memcache";b:0;}s:10:"extensions";a:7:{s:22:"yiisoft/yii2-bootstrap";a:3:{s:4:"name";s:22:"yiisoft/yii2-bootstrap";s:7:"version";s:12:"2.0.0.0-beta";s:5:"alias";a:1:{s:14:"@yii/bootstrap";s:50:"D:\Projects\cvas-bet\vendor/yiisoft/yii2-bootstrap";}}s:16:"yiisoft/yii2-gii";a:3:{s:4:"name";s:16:"yiisoft/yii2-gii";s:7:"version";s:12:"2.0.0.0-beta";s:5:"alias";a:1:{s:8:"@yii/gii";s:44:"D:\Projects\cvas-bet\vendor/yiisoft/yii2-gii";}}s:18:"yiisoft/yii2-debug";a:3:{s:4:"name";s:18:"yiisoft/yii2-debug";s:7:"version";s:12:"2.0.0.0-beta";s:5:"alias";a:1:{s:10:"@yii/debug";s:46:"D:\Projects\cvas-bet\vendor/yiisoft/yii2-debug";}}s:24:"yiisoft/yii2-codeception";a:3:{s:4:"name";s:24:"yiisoft/yii2-codeception";s:7:"version";s:12:"2.0.0.0-beta";s:5:"alias";a:1:{s:16:"@yii/codeception";s:52:"D:\Projects\cvas-bet\vendor/yiisoft/yii2-codeception";}}s:24:"yiisoft/yii2-swiftmailer";a:3:{s:4:"name";s:24:"yiisoft/yii2-swiftmailer";s:7:"version";s:12:"2.0.0.0-beta";s:5:"alias";a:1:{s:16:"@yii/swiftmailer";s:52:"D:\Projects\cvas-bet\vendor/yiisoft/yii2-swiftmailer";}}s:15:"amnah/yii2-user";a:3:{s:4:"name";s:15:"amnah/yii2-user";s:7:"version";s:12:"1.0.0.0-beta";s:5:"alias";a:1:{s:16:"@amnah/yii2/user";s:43:"D:\Projects\cvas-bet\vendor/amnah/yii2-user";}}s:36:"2amigos/yii2-date-time-picker-widget";a:3:{s:4:"name";s:36:"2amigos/yii2-date-time-picker-widget";s:7:"version";s:7:"0.1.0.0";s:5:"alias";a:1:{s:25:"@dosamigos/datetimepicker";s:64:"D:\Projects\cvas-bet\vendor/2amigos/yii2-date-time-picker-widget";}}}}s:7:"request";a:14:{s:7:"flashes";a:0:{}s:10:"statusCode";i:500;s:14:"requestHeaders";a:9:{s:4:"host";s:14:"cvas-bet.local";s:10:"connection";s:10:"keep-alive";s:6:"accept";s:74:"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8";s:25:"upgrade-insecure-requests";s:1:"1";s:10:"user-agent";s:112:"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2475.0 Safari/537.36";s:7:"referer";s:40:"http://cvas-bet.local/user/default/login";s:15:"accept-encoding";s:19:"gzip, deflate, sdch";s:15:"accept-language";s:56:"vi-VN,vi;q=0.8,fr-FR;q=0.6,fr;q=0.4,en-US;q=0.2,en;q=0.2";s:6:"cookie";s:120:"_csrf=7c74f96ad43e661360e69a4740114ec63d036344497ef74c7b26a0dd3d6dddd0s%3A32%3A%222Kj_CC8B8-kVnhlsIVNng76YsdODJhOd%22%3B";}s:15:"responseHeaders";a:2:{s:12:"X-Powered-By";s:10:"PHP/5.5.27";s:12:"Content-Type";s:24:"text/html; charset=UTF-8";}s:5:"route";s:21:"user/default/register";s:6:"action";s:63:"amnah\yii2\user\controllers\DefaultController::actionRegister()";s:12:"actionParams";a:0:{}s:11:"requestBody";a:0:{}s:6:"SERVER";a:50:{s:16:"REDIRECT_MIBDIRS";s:24:"D:/xampp/php/extras/mibs";s:19:"REDIRECT_MYSQL_HOME";s:16:"\xampp\mysql\bin";s:21:"REDIRECT_OPENSSL_CONF";s:31:"D:/xampp/apache/bin/openssl.cnf";s:29:"REDIRECT_PHP_PEAR_SYSCONF_DIR";s:10:"\xampp\php";s:14:"REDIRECT_PHPRC";s:10:"\xampp\php";s:12:"REDIRECT_TMP";s:10:"\xampp\tmp";s:15:"REDIRECT_STATUS";s:3:"200";s:7:"MIBDIRS";s:24:"D:/xampp/php/extras/mibs";s:10:"MYSQL_HOME";s:16:"\xampp\mysql\bin";s:12:"OPENSSL_CONF";s:31:"D:/xampp/apache/bin/openssl.cnf";s:20:"PHP_PEAR_SYSCONF_DIR";s:10:"\xampp\php";s:5:"PHPRC";s:10:"\xampp\php";s:3:"TMP";s:10:"\xampp\tmp";s:9:"HTTP_HOST";s:14:"cvas-bet.local";s:15:"HTTP_CONNECTION";s:10:"keep-alive";s:11:"HTTP_ACCEPT";s:74:"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8";s:30:"HTTP_UPGRADE_INSECURE_REQUESTS";s:1:"1";s:15:"HTTP_USER_AGENT";s:112:"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2475.0 Safari/537.36";s:12:"HTTP_REFERER";s:40:"http://cvas-bet.local/user/default/login";s:20:"HTTP_ACCEPT_ENCODING";s:19:"gzip, deflate, sdch";s:20:"HTTP_ACCEPT_LANGUAGE";s:56:"vi-VN,vi;q=0.8,fr-FR;q=0.6,fr;q=0.4,en-US;q=0.2,en;q=0.2";s:11:"HTTP_COOKIE";s:120:"_csrf=7c74f96ad43e661360e69a4740114ec63d036344497ef74c7b26a0dd3d6dddd0s%3A32%3A%222Kj_CC8B8-kVnhlsIVNng76YsdODJhOd%22%3B";s:4:"PATH";s:922:"D:\Python34\Lib\site-packages\PyQt4;D:\Python34\;D:\Python34\Scripts;D:\Software\adt-bundle-windows-x86_64-20140702\sdk\platform-tools;C:\Program Files\Genymobile\Genymotion\tools;D:\Software\Programming Tool\gradle-2.2.1\bin;C:\Program Files\Java\jdk1.8.0_20\bin;D:\xampp\mysql\bin;D:\xampp\php;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\TortoiseSVN\bin;C:\Program Files (x86)\nodejs\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files (x86)\git-cola\bin;C:\Program Files (x86)\Git\cmd;C:\Program Files (x86)\Git\bin;C:\Program Files (x86)\Toshiba\Bluetooth Toshiba Stack\sys\;C:\Program Files (x86)\Toshiba\Bluetooth Toshiba Stack\sys\x64\;C:\Program Files (x86)\Brackets\command;C:\ProgramData\ComposerSetup\bin;C:\Users\Ngoc Luong\AppData\Roaming\Composer\vendor\bin;C:\Users\Ngoc Luong\AppData\Roaming\npm";s:10:"SystemRoot";s:10:"C:\Windows";s:7:"COMSPEC";s:27:"C:\Windows\system32\cmd.exe";s:7:"PATHEXT";s:57:".COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;.PY";s:6:"WINDIR";s:10:"C:\Windows";s:16:"SERVER_SIGNATURE";s:99:"<address>Apache/2.4.4 (Win32) OpenSSL/1.0.1p PHP/5.5.27 Server at cvas-bet.local Port 80</address>
";s:15:"SERVER_SOFTWARE";s:46:"Apache/2.4.4 (Win32) OpenSSL/1.0.1p PHP/5.5.27";s:11:"SERVER_NAME";s:14:"cvas-bet.local";s:11:"SERVER_ADDR";s:9:"127.0.0.1";s:11:"SERVER_PORT";s:2:"80";s:11:"REMOTE_ADDR";s:9:"127.0.0.1";s:13:"DOCUMENT_ROOT";s:24:"D:/Projects/cvas-bet/web";s:14:"REQUEST_SCHEME";s:4:"http";s:14:"CONTEXT_PREFIX";s:0:"";s:21:"CONTEXT_DOCUMENT_ROOT";s:24:"D:/Projects/cvas-bet/web";s:12:"SERVER_ADMIN";s:20:"postmaster@localhost";s:15:"SCRIPT_FILENAME";s:34:"D:/Projects/cvas-bet/web/index.php";s:11:"REMOTE_PORT";s:5:"51094";s:12:"REDIRECT_URL";s:14:"/user/register";s:17:"GATEWAY_INTERFACE";s:7:"CGI/1.1";s:15:"SERVER_PROTOCOL";s:8:"HTTP/1.1";s:14:"REQUEST_METHOD";s:3:"GET";s:12:"QUERY_STRING";s:0:"";s:11:"REQUEST_URI";s:14:"/user/register";s:11:"SCRIPT_NAME";s:10:"/index.php";s:8:"PHP_SELF";s:10:"/index.php";s:18:"REQUEST_TIME_FLOAT";d:1440478699.084000110626220703125;s:12:"REQUEST_TIME";i:1440478699;}s:3:"GET";a:0:{}s:4:"POST";a:0:{}s:6:"COOKIE";a:1:{s:5:"_csrf";s:104:"7c74f96ad43e661360e69a4740114ec63d036344497ef74c7b26a0dd3d6dddd0s:32:"2Kj_CC8B8-kVnhlsIVNng76YsdODJhOd";";}s:5:"FILES";a:0:{}s:7:"SESSION";a:1:{s:7:"__flash";a:0:{}}}s:3:"log";a:1:{s:8:"messages";a:39:{i:0;a:5:{i:0;s:33:"Bootstrap with yii\log\Dispatcher";i:1;i:8;i:2;s:31:"yii\base\Application::bootstrap";i:3;d:1440478699.1163289546966552734375;i:4;a:0:{}}i:1;a:5:{i:0;s:19:"Loading module: gii";i:1;i:8;i:2;s:26:"yii\base\Module::getModule";i:3;d:1440478699.1173288822174072265625;i:4;a:0:{}}i:2;a:5:{i:0;s:29:"Bootstrap with yii\gii\Module";i:1;i:8;i:2;s:31:"yii\base\Application::bootstrap";i:3;d:1440478699.1353299617767333984375;i:4;a:0:{}}i:3;a:5:{i:0;s:21:"Loading module: debug";i:1;i:8;i:2;s:26:"yii\base\Module::getModule";i:3;d:1440478699.1353299617767333984375;i:4;a:0:{}}i:4;a:5:{i:0;s:44:"Bootstrap with yii\debug\Module::bootstrap()";i:1;i:8;i:2;s:31:"yii\base\Application::bootstrap";i:3;d:1440478699.150331020355224609375;i:4;a:0:{}}i:5;a:5:{i:0;s:55:"No matching URL rules. Using default URL parsing logic.";i:1;i:8;i:2;s:32:"yii\web\UrlManager::parseRequest";i:3;d:1440478699.1593310832977294921875;i:4;a:0:{}}i:6;a:5:{i:0;s:32:"Route requested: 'user/register'";i:1;i:8;i:2;s:34:"yii\web\Application::handleRequest";i:3;d:1440478699.1593310832977294921875;i:4;a:0:{}}i:7;a:5:{i:0;s:20:"Loading module: user";i:1;i:8;i:2;s:26:"yii\base\Module::getModule";i:3;d:1440478699.1593310832977294921875;i:4;a:0:{}}i:8;a:5:{i:0;s:35:"Route to run: user/default/register";i:1;i:8;i:2;s:30:"yii\base\Controller::runAction";i:3;d:1440478699.1733319759368896484375;i:4;a:0:{}}i:9;a:5:{i:0;s:79:"Running action: amnah\yii2\user\controllers\DefaultController::actionRegister()";i:1;i:8;i:2;s:36:"yii\base\InlineAction::runWithParams";i:3;d:1440478699.1893329620361328125;i:4;a:0:{}}i:10;a:5:{i:0;s:59:"Opening DB connection: mysql:host=localhost;dbname=funnybet";i:1;i:8;i:2;s:23:"yii\db\Connection::open";i:3;d:1440478699.38634395599365234375;i:4;a:2:{i:0;a:5:{s:4:"file";s:54:"D:\Projects\cvas-bet\vendor\amnah\yii2-user\Module.php";s:4:"line";i:204;s:8:"function";s:12:"createObject";s:5:"class";s:11:"yii\BaseYii";s:4:"type";s:2:"::";}i:1;a:5:{s:4:"file";s:77:"D:\Projects\cvas-bet\vendor\amnah\yii2-user\controllers\DefaultController.php";s:4:"line";i:134;s:8:"function";s:5:"model";s:5:"class";s:22:"amnah\yii2\user\Module";s:4:"type";s:2:"->";}}}i:13;a:5:{i:0;s:6062:"exception 'PDOException' with message 'SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO)' in D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\Connection.php:365
Stack trace:
#0 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\Connection.php(365): PDO->__construct('mysql:host=loca...', 'root', '', NULL)
#1 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\Connection.php(319): yii\db\Connection->createPdoInstance()
#2 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\Connection.php(395): yii\db\Connection->open()
#3 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\mysql\Schema.php(188): yii\db\Connection->createCommand('SHOW FULL COLUM...')
#4 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\mysql\Schema.php(93): yii\db\mysql\Schema->findColumns(Object(yii\db\TableSchema))
#5 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\Schema.php(117): yii\db\mysql\Schema->loadTableSchema('user')
#6 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\Connection.php(468): yii\db\Schema->getTableSchema('user', false)
#7 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\ActiveRecord.php(253): yii\db\Connection->getTableSchema('user')
#8 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\ActiveRecord.php(286): yii\db\ActiveRecord::getTableSchema()
#9 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\BaseActiveRecord.php(415): yii\db\ActiveRecord->attributes()
#10 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\BaseActiveRecord.php(257): yii\db\BaseActiveRecord->hasAttribute('scenario')
#11 D:\Projects\cvas-bet\vendor\yiisoft\yii2\BaseYii.php(515): yii\db\BaseActiveRecord->__set('scenario', 'register')
#12 D:\Projects\cvas-bet\vendor\yiisoft\yii2\base\Object.php(104): yii\BaseYii::configure(Object(amnah\yii2\user\models\User), Array)
#13 [internal function]: yii\base\Object->__construct(Array)
#14 D:\Projects\cvas-bet\vendor\yiisoft\yii2\di\Container.php(365): ReflectionClass->newInstanceArgs(Array)
#15 D:\Projects\cvas-bet\vendor\yiisoft\yii2\di\Container.php(147): yii\di\Container->build('amnah\\yii2\\user...', Array, Array)
#16 D:\Projects\cvas-bet\vendor\yiisoft\yii2\BaseYii.php(341): yii\di\Container->get('amnah\\yii2\\user...', Array, Array)
#17 D:\Projects\cvas-bet\vendor\amnah\yii2-user\Module.php(204): yii\BaseYii::createObject(Array)
#18 D:\Projects\cvas-bet\vendor\amnah\yii2-user\controllers\DefaultController.php(134): amnah\yii2\user\Module->model('User', Array)
#19 [internal function]: amnah\yii2\user\controllers\DefaultController->actionRegister()
#20 D:\Projects\cvas-bet\vendor\yiisoft\yii2\base\InlineAction.php(54): call_user_func_array(Array, Array)
#21 D:\Projects\cvas-bet\vendor\yiisoft\yii2\base\Controller.php(147): yii\base\InlineAction->runWithParams(Array)
#22 D:\Projects\cvas-bet\vendor\yiisoft\yii2\base\Module.php(423): yii\base\Controller->runAction('register', Array)
#23 D:\Projects\cvas-bet\vendor\yiisoft\yii2\web\Application.php(82): yii\base\Module->runAction('user/register', Array)
#24 D:\Projects\cvas-bet\vendor\yiisoft\yii2\base\Application.php(353): yii\web\Application->handleRequest(Object(yii\web\Request))
#25 D:\Projects\cvas-bet\web\index.php(12): yii\base\Application->run()
#26 {main}

Next exception 'yii\db\Exception' with message 'SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO)' in D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\Connection.php:324
Stack trace:
#0 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\Connection.php(395): yii\db\Connection->open()
#1 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\mysql\Schema.php(188): yii\db\Connection->createCommand('SHOW FULL COLUM...')
#2 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\mysql\Schema.php(93): yii\db\mysql\Schema->findColumns(Object(yii\db\TableSchema))
#3 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\Schema.php(117): yii\db\mysql\Schema->loadTableSchema('user')
#4 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\Connection.php(468): yii\db\Schema->getTableSchema('user', false)
#5 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\ActiveRecord.php(253): yii\db\Connection->getTableSchema('user')
#6 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\ActiveRecord.php(286): yii\db\ActiveRecord::getTableSchema()
#7 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\BaseActiveRecord.php(415): yii\db\ActiveRecord->attributes()
#8 D:\Projects\cvas-bet\vendor\yiisoft\yii2\db\BaseActiveRecord.php(257): yii\db\BaseActiveRecord->hasAttribute('scenario')
#9 D:\Projects\cvas-bet\vendor\yiisoft\yii2\BaseYii.php(515): yii\db\BaseActiveRecord->__set('scenario', 'register')
#10 D:\Projects\cvas-bet\vendor\yiisoft\yii2\base\Object.php(104): yii\BaseYii::configure(Object(amnah\yii2\user\models\User), Array)
#11 [internal function]: yii\base\Object->__construct(Array)
#12 D:\Projects\cvas-bet\vendor\yiisoft\yii2\di\Container.php(365): ReflectionClass->newInstanceArgs(Array)
#13 D:\Projects\cvas-bet\vendor\yiisoft\yii2\di\Container.php(147): yii\di\Container->build('amnah\\yii2\\user...', Array, Array)
#14 D:\Projects\cvas-bet\vendor\yiisoft\yii2\BaseYii.php(341): yii\di\Container->get('amnah\\yii2\\user...', Array, Array)
#15 D:\Projects\cvas-bet\vendor\amnah\yii2-user\Module.php(204): yii\BaseYii::createObject(Array)
#16 D:\Projects\cvas-bet\vendor\amnah\yii2-user\controllers\DefaultController.php(134): amnah\yii2\user\Module->model('User', Array)
#17 [internal function]: amnah\yii2\user\controllers\DefaultController->actionRegister()
#18 D:\Projects\cvas-bet\vendor\yiisoft\yii2\base\InlineAction.php(54): call_user_func_array(Array, Array)
#19 D:\Projects\cvas-bet\vendor\yiisoft\yii2\base\Controller.php(147): yii\base\InlineAction->runWithParams(Array)
#20 D:\Projects\cvas-bet\vendor\yiisoft\yii2\base\Module.php(423): yii\base\Controller->runAction('register', Array)
#21 D:\Projects\cvas-bet\vendor\yiisoft\yii2\web\Application.php(82): yii\base\Module->runAction('user/register', Array)
#22 D:\Projects\cvas-bet\vendor\yiisoft\yii2\base\Application.php(353): yii\web\Application->handleRequest(Object(yii\web\Request))
#23 D:\Projects\cvas-bet\web\index.php(12): yii\base\Application->run()
#24 {main}
Additional Information:
